ID;Perioden;PrijsindexBestaandeKoopwoningen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;AantalVerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8;Year;Month
158;2004-05-01;102.1;0.2;4.3;14507;-12.1;-13.0;212210;3079;2004;05
159;2004-06-01;102.3;0.3;4.1;16943;16.8;17.3;211950;3591;2004;06
161;2004-07-01;103.2;0.9;4.6;18386;8.5;5.0;215940;3970;2004;07
162;2004-08-01;103.8;0.5;5.1;16909;-8.0;5.4;217834;3683;2004;08
163;2004-09-01;103.7;-0.1;4.8;15132;-10.5;-10.0;218350;3304;2004;09
165;2004-10-01;104.1;0.4;4.6;15450;2.1;-11.0;214677;3317;2004;10
166;2004-11-01;103.8;-0.3;4.0;16519;6.9;8.9;211246;3490;2004;11
167;2004-12-01;103.7;-0.1;3.5;22348;35.3;-9.3;210150;4696;2004;12
170;2005-01-01;104.3;0.6;3.5;11495;-48.6;11.3;214758;2469;2005;01
171;2005-02-01;105.0;0.7;3.8;13964;21.5;5.0;214870;3000;2005;02
172;2005-03-01;105.3;0.2;4.2;15751;12.8;0.8;217110;3420;2005;03
174;2005-04-01;105.7;0.4;3.8;16662;5.8;1.0;219695;3661;2005;04
175;2005-05-01;106.4;0.7;4.3;16913;1.5;16.6;219176;3707;2005;05
176;2005-06-01;106.3;-0.1;3.9;17017;0.6;0.4;221788;3774;2005;06
178;2005-07-01;107.1;0.7;3.7;18704;9.9;1.7;225528;4218;2005;07
179;2005-08-01;107.6;0.5;3.7;18901;1.1;11.8;225914;4270;2005;08
180;2005-09-01;107.6;0.0;3.8;18123;-4.1;19.8;229361;4157;2005;09
182;2005-10-01;107.9;0.3;3.7;17789;-1.8;15.1;225765;4016;2005;10
183;2005-11-01;108.0;0.0;4.0;17268;-2.9;4.5;224855;3883;2005;11
184;2005-12-01;108.3;0.3;4.4;24042;39.2;7.6;226399;5443;2005;12
187;2006-01-01;109.1;0.7;4.6;13671;-43.1;18.9;228008;3117;2006;01
188;2006-02-01;109.8;0.7;4.6;15698;14.8;12.4;229291;3599;2006;02
189;2006-03-01;110.2;0.3;4.7;18150;15.6;15.2;231013;4193;2006;03
191;2006-04-01;110.6;0.4;4.7;16245;-10.5;-2.5;232932;3784;2006;04
192;2006-05-01;111.0;0.3;4.2;18479;13.8;9.3;232135;4290;2006;05
193;2006-06-01;111.5;0.4;4.8;18479;0.0;8.6;237713;4393;2006;06
195;2006-07-01;112.2;0.7;4.8;18819;1.8;0.6;240270;4522;2006;07
196;2006-08-01;112.5;0.3;4.6;18059;-4.0;-4.5;241279;4357;2006;08
197;2006-09-01;112.5;0.0;4.5;17004;-5.8;-6.2;241654;4109;2006;09
199;2006-10-01;112.8;0.2;4.5;16981;-0.1;-4.5;239211;4062;2006;10
200;2006-11-01;113.1;0.3;4.8;16578;-2.4;-4.0;235660;3907;2006;11
201;2006-12-01;113.0;-0.1;4.3;21604;30.3;-10.1;237903;5140;2006;12
204;2007-01-01;113.9;0.8;4.4;13419;-37.9;-1.8;243160;3263;2007;01
205;2007-02-01;114.0;0.1;3.8;14487;8.0;-7.7;240094;3478;2007;02
206;2007-03-01;114.7;0.6;4.1;17349;19.8;-4.4;244056;4234;2007;03
208;2007-04-01;115.0;0.3;4.0;15646;-9.8;-3.7;244148;3820;2007;04
209;2007-05-01;115.6;0.5;4.2;17419;11.3;-5.7;246215;4289;2007;05
210;2007-06-01;116.0;0.3;4.1;17358;-0.4;-6.1;247323;4293;2007;06
212;2007-07-01;116.8;0.6;4.1;18221;5.0;-3.2;249941;4554;2007;07
213;2007-08-01;117.8;0.9;4.7;19554;7.3;8.3;257921;5043;2007;08
214;2007-09-01;117.4;-0.4;4.3;14386;-26.4;-15.4;252650;3635;2007;09
216;2007-10-01;117.6;0.2;4.3;16833;17.0;-0.9;251238;4229;2007;10
217;2007-11-01;118.1;0.4;4.4;18067;7.3;9.0;252031;4553;2007;11
218;2007-12-01;117.5;-0.5;4.0;19662;8.8;-9.0;247650;4869;2007;12
221;2008-01-01;119.0;1.3;4.5;12192;-38.0;-9.1;252858;3083;2008;01
222;2008-02-01;119.0;0.0;4.4;15081;23.7;4.1;256717;3872;2008;02
223;2008-03-01;119.4;0.3;4.1;13698;-9.2;-21.0;250160;3427;2008;03
225;2008-04-01;119.5;0.0;3.9;18474;34.9;18.1;255294;4716;2008;04
226;2008-05-01;119.0;-0.4;2.9;13871;-24.9;-20.4;252098;3497;2008;05
227;2008-06-01;119.3;0.3;2.8;15669;13.0;-9.7;252710;3960;2008;06
229;2008-07-01;120.3;0.9;3.1;17597;12.3;-3.4;258178;4543;2008;07
230;2008-08-01;120.9;0.5;2.6;15469;-12.1;-20.9;261948;4052;2008;08
231;2008-09-01;120.5;-0.3;2.7;15374;-0.6;6.9;258314;3971;2008;09
233;2008-10-01;120.2;-0.3;2.2;16568;7.8;-1.6;259137;4293;2008;10
234;2008-11-01;119.3;-0.7;1.1;11619;-29.9;-35.7;245292;2850;2008;11
235;2008-12-01;119.5;0.1;1.7;16780;44.4;-14.7;252145;4231;2008;12
238;2009-01-01;120.1;0.5;0.9;8700;-48.2;-28.6;255906;2226;2009;01
239;2009-02-01;118.9;-1.0;-0.1;8906;2.4;-40.9;247830;2207;2009;02
240;2009-03-01;117.7;-1.0;-1.5;9612;7.9;-29.8;240130;2308;2009;03
242;2009-04-01;116.8;-0.7;-2.2;10073;4.8;-45.5;238277;2400;2009;04
243;2009-05-01;116.0;-0.7;-2.5;10275;2.0;-25.9;236447;2429;2009;05
244;2009-06-01;114.8;-1.1;-3.8;9921;-3.4;-36.7;231684;2299;2009;06
246;2009-07-01;114.9;0.1;-4.5;13237;33.4;-24.8;235361;3115;2009;07
247;2009-08-01;114.2;-0.6;-5.6;9572;-27.7;-38.1;231295;2214;2009;08
248;2009-09-01;113.8;-0.3;-5.6;10425;8.9;-32.2;233504;2434;2009;09
250;2009-10-01;113.9;0.1;-5.2;11385;9.2;-31.3;238827;2719;2009;10
251;2009-11-01;113.4;-0.5;-5.0;9970;-12.4;-14.2;233663;2330;2009;11
252;2009-12-01;112.7;-0.6;-5.7;15456;55.0;-7.9;239605;3703;2009;12
255;2010-01-01;113.0;0.2;-5.9;7708;-50.1;-11.4;240650;1855;2010;01
256;2010-02-01;113.3;0.3;-4.7;8892;15.4;-0.2;233902;2080;2010;02
