ID;RegioS;Perioden;GemiddeldeWOZWaardeVanWoningen_98;Gemeentenaam;Provincienaam;Year
2093;GM0484;2000-01-01;      80;Alphen aan den Rijn;Zuid-Holland;2000
2094;GM0484;2001-01-01;     134;Alphen aan den Rijn;Zuid-Holland;2001
2095;GM0484;2002-01-01;     134;Alphen aan den Rijn;Zuid-Holland;2002
2096;GM0484;2003-01-01;     135;Alphen aan den Rijn;Zuid-Holland;2003
2097;GM0484;2004-01-01;     136;Alphen aan den Rijn;Zuid-Holland;2004
2098;GM0484;2005-01-01;     202;Alphen aan den Rijn;Zuid-Holland;2005
2099;GM0484;2006-01-01;     203;Alphen aan den Rijn;Zuid-Holland;2006
2100;GM0484;2007-01-01;     219;Alphen aan den Rijn;Zuid-Holland;2007
2101;GM0484;2008-01-01;     230;Alphen aan den Rijn;Zuid-Holland;2008
2102;GM0484;2009-01-01;     240;Alphen aan den Rijn;Zuid-Holland;2009
2103;GM0484;2010-01-01;     241;Alphen aan den Rijn;Zuid-Holland;2010
2104;GM0484;2011-01-01;     238;Alphen aan den Rijn;Zuid-Holland;2011
2105;GM0484;2012-01-01;     234;Alphen aan den Rijn;Zuid-Holland;2012
2106;GM0484;2013-01-01;     225;Alphen aan den Rijn;Zuid-Holland;2013
2107;GM0484;2014-01-01;     220;Alphen aan den Rijn;Zuid-Holland;2014
2108;GM0484;2015-01-01;     217;Alphen aan den Rijn;Zuid-Holland;2015
2109;GM0484;2016-01-01;     215;Alphen aan den Rijn;Zuid-Holland;2016
2110;GM0484;2017-01-01;     219;Alphen aan den Rijn;Zuid-Holland;2017
2111;GM0484;2018-01-01;     231;Alphen aan den Rijn;Zuid-Holland;2018
2112;GM0484;2019-01-01;     246;Alphen aan den Rijn;Zuid-Holland;2019
2113;GM0484;2020-01-01;     264;Alphen aan den Rijn;Zuid-Holland;2020
2114;GM0484;2021-01-01;     282;Alphen aan den Rijn;Zuid-Holland;2021
2115;GM0484;2022-01-01;     309;Alphen aan den Rijn;Zuid-Holland;2022
2116;GM0484;2023-01-01;     360;Alphen aan den Rijn;Zuid-Holland;2023
2146;GM1723;1995-01-01;;Alphen-Chaam;Noord-Brabant;1995
2147;GM1723;1996-01-01;;Alphen-Chaam;Noord-Brabant;1996
2148;GM1723;1997-01-01;     122;Alphen-Chaam;Noord-Brabant;1997
2149;GM1723;1998-01-01;     122;Alphen-Chaam;Noord-Brabant;1998
